Name,ID,LPC,CPC,NDP,GRN,PPC,BQC,OTH,VOTES
Mississauga Centre,seat35061,24993,13387,5251,752,1961,0,62,46406
Mississauga East-Cooksville,seat35062,23146,14572,4849,150,2973,0,389,46079
Mississauga-Erin Mills,seat35063,25077,16406,5051,800,1648,0,0,48982
Mississauga-Lakeshore,seat35064,25814,22145,5605,1265,2444,0,101,57374
Mississauga-Malton,seat35065,22705,13213,5904,795,123,0,268,43008
Mississauga-Streetsville,seat35066,23405,16993,5971,1054,1840,0,195,49458
Nepean,seat35067,27376,19874,9671,1156,1629,0,1,59707
New Tecumseth-Gwillimbury,seat35069,14987,23491,6425,603,3694,0,141,49341
Newmarket-Aurora,seat35068,22081,19269,5832,935,2114,0,241,50472
Niagara Falls-Niagara-on-the-Lake,seat35070,18951,20126,9606,1050,4078,0,0,53811
Niagara South,seat35071,21668,22004,15006,1249,5889,0,0,65816
Niagara West,seat35072,19386,27489,8739,1750,4426,0,657,62447
Nipissing-Timiskaming,seat35073,19019,16508,12088,0,4112,0,0,51727
Northumberland-Clarke,seat35074,21265,27480,8720,1611,3428,0,0,62504
Oakville East,seat35075,22619,19344,4609,802,1636,0,0,49010
Oakville West,seat35076,23752,19150,4326,858,1792,0,0,49878
Orléans,seat35077,35750,19450,9872,1103,1791,0,194,68160
Oshawa,seat35078,13044,22409,16079,864,4029,0,0,56425
Ottawa Centre,seat35079,33481,12102,24393,2077,1661,0,547,74261
Ottawa South,seat35080,29365,15888,10644,1290,1825,0,118,59130
Ottawa West-Nepean,seat35082,29197,17742,12925,1855,2054,0,395,64168
Ottawa-Vanier-Gloucester,seat35081,30608,12883,14507,1902,1990,0,600,62490
Oxford,seat35083,12475,28203,11124,1628,6423,0,457,60310
Parry Sound-Muskoka,seat35084,11981,26576,9315,3096,4178,0,262,55408
Perth-Wellington,seat35085,13686,26989,9554,0,5358,0,0,55587
Peterborough,seat35086,25014,28149,13783,1598,3090,0,203,71837
Pickering-Brooklin,seat35087,27051,19137,7545,138,2151,0,0,56022
Prescott-Russell-Cumberland,seat35088,29273,20021,6681,1257,3962,0,691,61885
Richmond Hill South,seat35089,23632,19125,4294,0,1449,0,852,49352
Sarnia-Lambton-Bkejwanong,seat35090,13360,32140,14250,1027,7595,0,435,68807
Sault Ste. Marie-Algoma,seat35091,18591,20553,14804,365,3007,0,157,57477
Scarborough Centre-Don Valley East,seat35093,22893,10324,5680,0,1746,0,149,40792
Scarborough North,seat35095,26854,7232,4644,0,973,0,361,40064
Scarborough Southwest,seat35096,27314,9655,7555,1067,1354,0,158,47103
Scarborough-Agincourt,seat35092,24267,12589,4353,745,1214,0,0,43168
Scarborough-Guildwood-Rouge Park,seat35094,30748,11163,6716,1,1520,0,152,50300
Scarborough-Woburn,seat35097,23725,8781,5137,0,1203,0,343,39189
Simcoe North,seat35099,17993,24552,9321,1781,4466,0,188,58301
Simcoe-Grey,seat35098,15823,26909,7470,2366,3932,0,241,56741
Spadina-Harbourfront,seat35100,12872,7602,11782,1114,1039,0,0,34409
St. Catharines,seat35101,23106,19739,12963,1137,4018,0,0,60963
Stormont-Dundas-Glengarry,seat35102,14390,31730,6334,1349,4472,0,48,58323
Sudbury,seat35103,19404,15380,15999,1098,3358,0,109,55348
Sudbury East-Manitoulin-Nickel Belt,seat35104,16405,13873,15608,888,4612,0,76,51462
Taiaiako'n-Parkdale-High Park,seat35105,24297,7554,21902,1073,1821,0,220,56867
Thornhill,seat35106,18678,26939,3110,859,2391,0,0,51977
